Strain	Code
nAF476940	nAF476940
nAF476941	nAF476941
nAF476942	nAF476942
nAF476943	nAF476943
nAF476944	nAF476944
nAF476945	nAF476945
nAF476946	nAF476946
nAF476947	nAF476947
nAF476948	nAF476948
nAF476949	nAF476949
nAF476950	nAF476950
nAF476951	nAF476951
nAF476952	nAF476952
nAF476953	nAF476953
nAF476954	nAF476954
nAF476955	nAF476955
nAF476956	nAF476956
nAF476957	nAF476957
nAF476958	nAF476958
nAJ579564	nAJ579564
nAJ579565	nAJ579565
nAJ579566	nAJ579566
nAJ579567	nAJ579567
nAJ579568	nAJ579568
nAJ579569	nAJ579569
nAJ579570	nAJ579570
nAJ579571	nAJ579571
nAJ579572	nAJ579572
nAJ579573	nAJ579573
nAJ579574	nAJ579574
nAJ579575	nAJ579575
nAJ580924	nAJ580924
nAJ580925	nAJ580925
nAJ580926	nAJ580926
nAJ580947	nAJ580947
nAJ580948	nAJ580948
nAJ871362	nAJ871362
nAJ874329	nAJ874329
nAJ874330	nAJ874330
nAJ874331	nAJ874331
nAJ874332	nAJ874332
nAJ874333	nAJ874333
nAJ874334	nAJ874334
nAJ874335	nAJ874335
nAJ874336	nAJ874336
nAJ874337	nAJ874337
nAJ874338	nAJ874338
nAJ874339	nAJ874339
nAJ874340	nAJ874340
nAJ874698	nAJ874698
nAJ874699	nAJ874699
nAJ874700	nAJ874700
nAJ874701	nAJ874701
nAJ874702	nAJ874702
nAJ874703	nAJ874703
nAJ874704	nAJ874704
nAJ874705	nAJ874705
nAJ874706	nAJ874706
nAJ874707	nAJ874707
nAJ874708	nAJ874708
nAJ874709	nAJ874709
nAJ874710	nAJ874710
nAJ874711	nAJ874711
nAJ874712	nAJ874712
nAJ874713	nAJ874713
nAJ874714	nAJ874714
nAJ874715	nAJ874715
nAM421002	nAM421002
nAM421003	nAM421003
nAM421004	nAM421004
nAM695634	nAM695634
nAM695635	nAM695635
nAY682398	nAY682398
nAY682399	nAY682399
nAY682400	nAY682400
nAY682401	nAY682401
nAY682402	nAY682402
nAY682403	nAY682403
nAY682404	nAY682404
nAY682405	nAY682405
nAY682406	nAY682406
nAY682407	nAY682407
nAY682408	nAY682408
nAY682409	nAY682409
nAY682410	nAY682410
nAY682411	nAY682411
nAY682412	nAY682412
nAY682413	nAY682413
nAY682414	nAY682414
nAY682416	nAY682416
nAY682417	nAY682417
nAY682418	nAY682418
nAY682419	nAY682419
nAY682420	nAY682420
nAY682421	nAY682421
nAY682422	nAY682422
nAY682423	nAY682423
nAY682424	nAY682424
nAY682426	nAY682426
nAY682427	nAY682427
nAY682428	nAY682428
nAY682429	nAY682429
nAY682430	nAY682430
nAY682431	nAY682431
nAY682432	nAY682432
nAY682433	nAY682433
nAY682434	nAY682434
nAY682435	nAY682435
nAY682436	nAY682436
nAY682437	nAY682437
nAY682438	nAY682438
nAY682439	nAY682439
nAY682440	nAY682440
nAY682441	nAY682441
nAY682442	nAY682442
nAY682443	nAY682443
nAY682444	nAY682444
nAY682445	nAY682445
nAY682446	nAY682446
nAY682447	nAY682447
nAY682448	nAY682448
nAY682449	nAY682449
nAY682450	nAY682450
nAY682451	nAY682451
nAY682452	nAY682452
nAY682453	nAY682453
nAY682454	nAY682454
nAY682455	nAY682455
nAY682456	nAY682456
nAY682457	nAY682457
nAY682458	nAY682458
nAY682459	nAY682459
nAY682460	nAY682460
nBFU89900	nBFU89900
nDTM99_33	nDTM99_33
nDTM99_49	nDTM99_49
nEF426792	nEF426792
nEF426793	nEF426793
nEF426794	nEF426794
nEF426795	nEF426795
nEF426796	nEF426796
nEF426797	nEF426797
nEF431847	nEF431847
nEF431848	nEF431848
nEF431849	nEF431849
nEF431850	nEF431850
nEF431851	nEF431851
nEF455920	nEF455920
nEF455921	nEF455921
nEF455922	nEF455922
nEF455923	nEF455923
nEF455924	nEF455924
nEF455925	nEF455925
nEF455926	nEF455926
nEF455927	nEF455927
nEF455928	nEF455928
nEF455929	nEF455929
nEF455930	nEF455930
nEF455931	nEF455931
nEF455932	nEF455932
nEF455933	nEF455933
nEF455935	nEF455935
nEF455937	nEF455937
nEF455938	nEF455938
nEF455939	nEF455939
nEF455940	nEF455940
nEF455941	nEF455941
nEF455942	nEF455942
nEF455943	nEF455943
nEF455944	nEF455944
nEF455945	nEF455945
nEF455948	nEF455948
nEF455950	nEF455950
nEF455951	nEF455951
nEF455953	nEF455953
nEF455954	nEF455954
nEF455955	nEF455955
nEF455956	nEF455956
nEF455957	nEF455957
nEF455958	nEF455958
nEF455959	nEF455959
nEF455960	nEF455960
nEF455961	nEF455961
nEF455962	nEF455962
nEF455963	nEF455963
nEF455964	nEF455964
nEF455965	nEF455965
nEF455966	nEF455966
nEF455967	nEF455967
nEF455968	nEF455968
nEF455969	nEF455969
nEF455970	nEF455970
nEF455971	nEF455971
nEF455972	nEF455972
nEF455973	nEF455973
nEF455974	nEF455974
nEF455975	nEF455975
nEF455977	nEF455977
nEF455978	nEF455978
nEF455979	nEF455979
nEF455980	nEF455980
nEF455981	nEF455981
nEF455982	nEF455982
nEF460489	nEF460489
nEF460490	nEF460490
nEF460491	nEF460491
nEF460492	nEF460492
nEF460493	nEF460493
nEF460494	nEF460494
nEF589158	nEF589158
nEF589159	nEF589159
nFJ858974	nFJ858974
nGQ405018	nGQ405018
nHE573279	nHE573279
nHE573280	nHE573280
nHE573281	nHE573281
nHE573282	nHE573282
nHE573283	nHE573283
nHQ184441	nHQ184441
nHQ184443	nHQ184443
nHQ184444	nHQ184444
nHQ184447	nHQ184447
nHQ184448	nHQ184448
nHQ184449	nHQ184449
nHQ184450	nHQ184450
nHQ184451	nHQ184451
nHQ184452	nHQ184452
nHQ184455	nHQ184455
nHQ710608	nHQ710608
nHQ710633	nHQ710633
nJN573801	nJN573801
nJN573802	nJN573802
nJQ967036	nJQ967036
nJX681201	nJX681201
nJX681202	nJX681202
nJX681203	nJX681203
nJX681205	nJX681205
nJX681206	nJX681206
nJX681207	nJX681207
nJX681208	nJX681208
nJX681209	nJX681209
nJX681210	nJX681210
nJX681211	nJX681211
nJX681212	nJX681212
nJX681213	nJX681213
nJX681215	nJX681215
nJX681216	nJX681216
nJX681217	nJX681217
nJX681218	nJX681218
nJX681220	nJX681220
nJX681221	nJX681221
nJX681222	nJX681222
nJX681223	nJX681223
nJX681224	nJX681224
nJX681226	nJX681226
nKC184837	nKC184837
nKC346361	nKC346361
nKF523894	nKF523894
nKF523909	nKF523909
nKF523912	nKF523912
nKF523915	nKF523915
HQ912475	HQ912475
rsys_TCC829-Rbcl-1_Bibliotheque_du_vivant	rsys_TCC829-Rbcl-1_Bibliotheque_du_vivant
38	38
43	43
KF959650	KF959650
rsys_TCC367-Rbcl-1_@speed-ID	rsys_TCC367-Rbcl-1_@speed-ID
rsys_TCC743-Rbcl-1_onema	rsys_TCC743-Rbcl-1_onema
rsys_TCC747-Rbcl-1_onema	rsys_TCC747-Rbcl-1_onema
rsys_TCC749-rbcl-1_onema	rsys_TCC749-rbcl-1_onema
rsys_TCC751-Rbcl-1_onema	rsys_TCC751-Rbcl-1_onema
rsys_TCC752-Rbcl-1_onema	rsys_TCC752-Rbcl-1_onema
rsys_TCC865-Rbcl-1_Sequencage_TCC	rsys_TCC865-Rbcl-1_Sequencage_TCC
rsys_TCC866-Rbcl-1_Sequencage_TCC	rsys_TCC866-Rbcl-1_Sequencage_TCC
rsys_TCC873-Rbcl-1_Sequencage_TCC	rsys_TCC873-Rbcl-1_Sequencage_TCC
rsys_TCC874-Rbcl-1_Sequencage_TCC	rsys_TCC874-Rbcl-1_Sequencage_TCC
rsys_TCC882-Rbcl-1_Sequencage_TCC	rsys_TCC882-Rbcl-1_Sequencage_TCC
KM084941	KM084941
KM084950	KM084950
KM084951	KM084951
KM084952	KM084952
KM084953	KM084953
rsys_AM710481_Base-NCBI	rsys_AM710481_Base-NCBI
EF143263	EF143263
EF143265	EF143265
EF143293	EF143293
EF143307	EF143307
EF143309	EF143309
EF143313	EF143313
HQ912471	HQ912471
KJ011852	KJ011852
rsys_AM710459_Base-NCBI	rsys_AM710459_Base-NCBI
rsys_TCC499-Rbcl-1_@speed-ID	rsys_TCC499-Rbcl-1_@speed-ID
KJ011851	KJ011851
914	914
KJ658392	KJ658392
KM084961	KM084961
KM084962	KM084962
rsys_TCC615-Rbcl-1_@speed-ID	rsys_TCC615-Rbcl-1_@speed-ID
704	704
77	77
778	778
865	865
KJ658389	KJ658389
KJ658393	KJ658393
KM084943	KM084943
HQ912490	HQ912490
KJ658388	KJ658388
rsys_TCC496-Rbcl-1_@speed-ID	rsys_TCC496-Rbcl-1_@speed-ID
TCC496	TCC496
840	840
rsys_JQ610172_Base-NCBI	rsys_JQ610172_Base-NCBI
AY571745	AY571745
EF143273	EF143273
EF143284	EF143284
EF143311	EF143311
rsys_TCC880-Rbcl-1_Sequencage_TCC	rsys_TCC880-Rbcl-1_Sequencage_TCC
140	140
145	145
152	152
155	155
176	176
180	180
183	183
206	206
208	208
231	231
238	238
337	337
342	342
391	391
398	398
399	399
405	405
407	407
417	417
419	419
422	422
424	424
432	432
434	434
436	436
437	437
438	438
446	446
447	447
449	449
450	450
455	455
456	456
468	468
473	473
474	474
477	477
542	542
544	544
545	545
546	546
547	547
548	548
549	549
550	550
552	552
554	554
556	556
557	557
559	559
560	560
562	562
565	565
571	571
573	573
574	574
576	576
577	577
580	580
587	587
589	589
595	595
60	60
634	634
690	690
7	7
725	725
727	727
911	911
iDTM98_32	iDTM98_32
rsys_AM710499_Base-NCBI	rsys_AM710499_Base-NCBI
rsys_TCC564-Rbcl-1_@speed-ID	rsys_TCC564-Rbcl-1_@speed-ID
rsys_TCC667-Rbcl-1_@speed-ID	rsys_TCC667-Rbcl-1_@speed-ID
rsys_TCC676-Rbcl-1_@speed-ID	rsys_TCC676-Rbcl-1_@speed-ID
rsys_TCC684-Rbcl-1_@speed-ID	rsys_TCC684-Rbcl-1_@speed-ID
rsys_TCC687-Rbcl-1_@speed-ID	rsys_TCC687-Rbcl-1_@speed-ID
rsys_TCC688-Rbcl-1_@speed-ID	rsys_TCC688-Rbcl-1_@speed-ID
rsys_TCC696-Rbcl-1_@speed-ID	rsys_TCC696-Rbcl-1_@speed-ID
rsys_TCC724-Rbcl-1_@speed-ID	rsys_TCC724-Rbcl-1_@speed-ID
rsys_TCC726-Rbcl-1_@speed-ID	rsys_TCC726-Rbcl-1_@speed-ID
rsys_TCC746-Rbcl-1_onema	rsys_TCC746-Rbcl-1_onema
rsys_TCC770-rbcl-1_onema	rsys_TCC770-rbcl-1_onema
rsys_TCC924-rbcl-1_onema	rsys_TCC924-rbcl-1_onema
rsys_TCC926-rbcl-1_onema	rsys_TCC926-rbcl-1_onema
rsys_TCC733-Rbcl-1_@speed-ID	rsys_TCC733-Rbcl-1_@speed-ID
502	502
HQ912474	HQ912474
KJ577892	KJ577892
